"CLIENT_CODE","FILE_NBR","FRASE_HOSP_NAME","SUBMISSION_NUMBER","FRASE_ADDR1","FRASE_ADDR2","FRASE_ADDR3","FRASE_CITY","FRASE_COUNTY","FRASE_COUNTY_DESC","FRASE_STATE","FRASE_ZIP","FRASE_EMAIL_ADDR","A1_1A","A1_1B","A1_1C","A1_1D","A1_1E","A1_1F","A1_1G","A1_1H","A1_1I","A1_1J","A1_1K","A1_1L","A1_1M","A1_1N","A1_1O"
"23",100113,"UF HEALTH SHANDS HOSPITAL","00100113070120180630201912092019071933","1600 SW ARCHER RD",,,"GAINESVILLE","1","ALACHUA","FL","32610","JIMEDW@shands.ufl.edu",,"100113","100030","SHANDS TEACHING HOSPITAL AND CLINICS, INC","1600 SW ARCHER ROAD, BOX 100326","GAINESVILLE","ALACHUA","32610","JACK STEINMAN","ATTN: BUDGET & PLANNING @ SHANDS HOSPITAL P.O. BOX 100336 GAINESVILLE, FL 32610","JACK STEINMAN","DIRECTOR","3522657965","3522657966","STEIJH@SHANDS.UFL.EDU"
"23",100084,"UF HEALTH LEESBURG HOSPITAL","00100084070120180630201912162019022112","600 E DIXIE AVE",,,"LEESBURG","35","LAKE","FL","34748-5925","epeart@centflhealth.org",,"10-0084","10107-9","LEESBURG REGIONAL MEDICAL CENTER","600 EAST DIXIE AVENUE","LEESBURG","LAKE","34748","Kevin C. Behre","600 EAST DIXIE AVE. LEESBURG, FL","Kevin Behre","SR. FINANCIAL ANALYST","3523235234","3523235039","kbehre@centflhealth.org"
"23",23960032,"UF HEALTH THE VILLAGES HOSPITAL","23960032070120180630201912172019014134","1451 EL CAMINO REAL",,,"THE VILLAGES","60","SUMTER","FL","32159","epeart@centflhealth.org",,"10290","1031790","THE VILLAGES REGIONAL HOSPITAL","1451 EL CAMINO REAL ","THE VILLAGES","SUMTER","32159","Kevin C. Behre","600 EAST DIXIE AVENUE LEESBURG, FL","Kevin C. Behre","SR. FINANCIAL ANALYST","3523235234","3523235039","kbehre@centflhealth.org"
"23",110009,"H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL","00110009070120180630201911042019084029","12902 MAGNOLIA DR",,,"TAMPA","29","HILLSBOROUGH","FL","33612-9497","JACK.KOLOSKY@MOFFITT.ORG",,"11-0009","1203-2","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL","12902 MAGNOLIA DR","TAMPA","HILLSBOROUGH","33612-9497","Melinda Garry",,"Kimberly Slater","Mgr Budget & Forecasting","8137454618",,"Kimberly.Slater@moffitt.org"
"23",100250,"JOHNS HOPKINS ALL CHILDREN'S HOSPITAL","00100250070120180630201910312019112343","501 SIXTH AVE S",,,"SAINT PETERSBURG","52","PINELLAS","FL","33701","lprytul1@jhmi.edu",,"103300","101516","JOHNS HOPKINS ALL CHILDREN'S HOSPITAL","501 SIXTH AVE S","SAINT PETERSBURG","PINELLAS","33701",,,"Keith Monahan","Mgr. of Budgeting","7277674404","7277678219","kmonaha4@jhmi.edu"
"23",100001,"UF HEALTH JACKSONVILLE","00100001070120180630201910302019030537","655 W 8TH ST",,,"JACKSONVILLE","16","DUVAL","FL","32209","joni.lourcey@jax.ufl.edu",,"100001","100676","UF HEALTH JACKSONVILLE","655 West 8th Street","Jacksonville","Duval","32209-0000","Leslie McCoy","655 WEST EIGHTH STREET JACKSONVILLE, FL 32209-0000","Leslie McCoy","Director, Financial Analysis","9042441827","9042441934","SusanLeslie.Mccoy@jax.ufl.edu"
"23",100051,"ORLANDO HEALTH SOUTH LAKE HOSPITAL","00100051100120180630201911262019035531","1900 DON WICKHAM DR",,,"CLERMONT","35","LAKE","FL","34711","albert.goodman@orlandohealth.com",,"100051","101087","South Lake Hospital Inc.","1900 Don Wickham Drive","Clermont","Lake","34711","Michelle Everly","1900 Don Wickham Drive, Clermont FL 34711","Lance Sewell","CFO","3523944071","3522417124","Michelle.Everly@Orlandohealth.com"
"23",110044,"EASTSIDE PSYCHIATRIC HOSPITAL","00110044070120180630201912192019090119"," 2634B CAPITAL CIRCLE NE, 2ND F",,,"TALLAHASSEE","37","LEON","FL","32308","LISAM@APALACHEECENTER.ORG",,"104059",,"EASTSIDE PSYCHIATRIC HOSPITAL","2634J Capital Circle NE","Tallahassee","Leon","32308","Harold Bachner CPA PA","8834 Goodbys Executive Dr. Jacksonville, FL 32217","Dean Hilton","Vice President -Finance","8505233220","8505233434","hbcpa@bellsouth.net"
"23",100140,"BAPTIST MEDICAL CENTER NASSAU","00100140100120180930201902182020025742","1250 S 18th ST",,,"FERNANDINA BEACH","45","NASSAU","FL","32034","missy.poston@bmcjax.com",,"10-0140","0101231-00","BAPTIST MEDICAL CENTER - NASSAU","1250 S 18TH ST","FERNANDINA BEACH","NASSAU","32034-1902","Shaw Seely","800 Prudential Drive, Jacksonville, FL, 32207-5904","Shaw Seely","Director of Reimbursement","9042022804","9043915577","shaw.seely@bmcjax.com"
"23",23960092,"VIERA HOSPITAL","23960092100120180930201902242020074629","8745 N WICKHAM RD",,,"MELBOURNE","5","BREVARD","FL","32940","Jeffrey.Stalnaker@health-first.org",,"10-0315","0031588","VIERA HOSPITAL","8745 NORTH WICKHAM ROAD","MELBOURNE","BREVARD","32940","MICHAEL A SCIALDONE","8745 NORTH WICKHAM ROAD MELBOURNE, FL 32940","MICHAEL A. SCIALDONE","EXECUTIVE VP, CFO","3214349000","3214344360","compass@hfgflorida.com"
"23",120007,"PALM BAY HOSPITAL","00120007100120180930201902242020082807","1425 MALABAR RD NE",,,"PALM BAY","5","BREVARD","FL","32907","Brett.Esrock@hf.org",,"10-0316","032975","PALM BAY HOSPITAL","1425 MALABAR RD NE","PALM BAY","BREVARD","32907","MICHAEL A SCIALDONE","1425 MALABAR RD NE PALM BAY, FL 32907","MICHAEL A. SCIALDONE","EXECUTIVE VP, CFO","3214348000","3214344360","compass@hfgflorida.com"
"23",100177,"CAPE CANAVERAL HOSPITAL","00100177100120180930201902242020102414","701 W COCOA BEACH CSWY",,,"COCOA BEACH","5","BREVARD","FL","32931","Jeffrey.Stalnaker@health-first.org",,"100177","100099","CAPE CANAVERAL HOSPITAL","701 WEST COCOA BEACH CAUSEWAY","COCOA BEACH","BREVARD","32931","MICHAEL A SCIALDONE","701 WEST COCOA BEACH CAUSEWAY COCOA BEACH, FL 32931","MICHAEL A. SCIALDONE","EXECUTIVE VP, CFO","3217997111","3214344360","compass@hfgflorida.com"
"23",100128,"TAMPA GENERAL HOSPITAL","00100128100120180930201902242020030241","1 TAMPA GENERAL CIR",,,"TAMPA","29","HILLSBOROUGH","FL","33606","rcostanzo@tgh.org",,"100128","100994","TAMPA GENERAL HOSPITAL","1 TAMPA GENERAL CIRCLE","TAMPA","HILLSBOROUGH","33606","RONALD COSTANZO","1 TAMPA GENERAL CIRCLE TAMPA, FL 33606","RONALD COSTANZO","DIRECTOR OF REIMBURSEMENT","8138444801","8138444595","compass@hfgflorida.com"
"23",100019,"HOLMES REGIONAL MEDICAL CENTER","00100019100120180930201902242020094452","1350 S HICKORY ST",,,"MELBOURNE","5","BREVARD","FL","32901",,,"100019","100081","HOLMES REGIONAL MEDICAL CENTER","1350 SOUTH HICKORY STREET","MELBOURNE","BREVARD","32901","MICHAEL A SCIALDONE","1350 SOUTH HICKORY STREET MELBOURNE, FL 32901","MICHAEL A. SCIALDONE","EXECUTIVE VP, CFO","3214347000","3214344360","compass@hfgflorida.com"
"23",100093,"BAPTIST HOSPITAL","00100093100120180930201912192019033813","1000 W MORENO ST",,,"PENSACOLA","17","ESCAMBIA","FL","32501","scott.raynes@bhcpns.org",,"100093","100749","BAPTIST HOSPITAL","1000 W MORENO ST","PENSACOLA","ESCAMBIA","32501","Cliff Reid","1000 West Moreno; Accounting Department","Andy Terry","Vice President, Reimbursement","8504697643",,"cliff.reid@bhcpns.org"
"23",100134,"ED FRASER MEMORIAL HOSPITAL","00100134100120180930201903022020083433","159 N 3RD ST",,,"MACCLENNY","2","BAKER","FL","32063","eanderson@bcmedsvcs.com",,"100134","10004800","ED FRASER MEMORIAL HOSPITAL","159 NORTH 3RD STREET","MACCLENNY","BAKER","32063","Draffin & Tucker, LLP","PO BOX 71309 2617 Gillionville Road Albany, GA 31708-1309","Edward Anderson","Chief Executive Officer","9042593151",,"EANDERSON@BCMEDSVCS.COM"
"23",100030,"ORLANDO HEALTH - HEALTH CENTRAL HOSPITAL","00100030100120180930201903112020084636","10000 W COLONIAL DR",,,"OCOEE","48","ORANGE","FL","34761","ALBERT.GOODMANIII@ORLANDOHEALTH.COM",,"100030","101354","HEALTH CENTRAL","10000 WEST COLONIAL DRIVE","OCOEE","ORANGE","34761","MICHAEL MUELLER","10000 WEST COLONIAL DRIVE OCOEE, FL 34761","MICHAEL MUELLER","CHIEF FINANCIAL OFFICER","4072961000","4072961675","compass@hfgflorida.com"
