"CLIENT_CODE","FILE_NBR","SUBMISSION_NUMBER","LINE_NUMBER","AMOUNT"
"23",100001,"00100001070120180630201910302019030537","01","1740687373"
"23",100254,"00100254010120191231201905202020103537","05","284725159"
"23",100254,"00100254010120191231201905202020103537","06","910067"
"23",100254,"00100254010120191231201905202020103537","07","285635226"
"23",100254,"00100254010120191231201905202020103537","08","44742484"
"23",100254,"00100254010120191231201905202020103537","09","69688004"
"23",100254,"00100254010120191231201905202020103537","10","12128769"
"23",100254,"00100254010120191231201905202020103537","11","91799531"
"23",100254,"00100254010120191231201905202020103537","12","218358788"
"23",100254,"00100254010120191231201905202020103537","13","67276438"
"23",100254,"00100254010120191231201905202020103537","14","16999642"
"23",100254,"00100254010120191231201905202020103537","15","4012778"
"23",100254,"00100254010120191231201905202020103537","16","12986864"
"23",100254,"00100254010120191231201905202020103537","17","80263302"
"23",100254,"00100254010120191231201905202020103537","18","-20387792"
"23",100254,"00100254010120191231201905202020103537","19",
"23",100254,"00100254010120191231201905202020103537","21",
"23",100254,"00100254010120191231201905202020103537","24","0"
"23",100254,"00100254010120191231201905202020103537","25","59875510"
"23",100256,"00100256010120191231201905282020113523","01","2242932404"
"23",100256,"00100256010120191231201905282020113523","02","896361868"
"23",100256,"00100256010120191231201905282020113523","03","3139294272"
"23",100256,"00100256010120191231201905282020113523","04","2870487422"
"23",100256,"00100256010120191231201905282020113523","05","268806850"
"23",100256,"00100256010120191231201905282020113523","06","23532828"
"23",100256,"00100256010120191231201905282020113523","07","292339678"
"23",100256,"00100256010120191231201905282020113523","08","53482453"
"23",100256,"00100256010120191231201905282020113523","09","89360600"
"23",100256,"00100256010120191231201905282020113523","10","21480488"
"23",100256,"00100256010120191231201905282020113523","11","86079339"
"23",100256,"00100256010120191231201905282020113523","12","250402880"
"23",100256,"00100256010120191231201905282020113523","13","41936798"
"23",100256,"00100256010120191231201905282020113523","14","45882716"
"23",100256,"00100256010120191231201905282020113523","15","803839"
"23",100256,"00100256010120191231201905282020113523","16","45078877"
"23",100256,"00100256010120191231201905282020113523","17","87015675"
"23",100256,"00100256010120191231201905282020113523","18","-22048824"
"23",100256,"00100256010120191231201905282020113523","19",
"23",100256,"00100256010120191231201905282020113523","21",
"23",100256,"00100256010120191231201905282020113523","24","0"
"23",100256,"00100256010120191231201905282020113523","25","64966851"
"23",100258,"00100258010120191231201906302020011347","01","2708543632"
"23",100258,"00100258010120191231201906302020011347","02","988128487"
"23",100258,"00100258010120191231201906302020011347","03","3696672119"
"23",100258,"00100258010120191231201906302020011347","04","3293444500"
"23",100258,"00100258010120191231201906302020011347","05","403227619"
"23",100258,"00100258010120191231201906302020011347","06","7185663"
"23",100258,"00100258010120191231201906302020011347","07","410413282"
"23",100258,"00100258010120191231201906302020011347","08","84208790"
"23",100258,"00100258010120191231201906302020011347","09","121200924"
"23",100258,"00100258010120191231201906302020011347","10","26533879"
"23",100258,"00100258010120191231201906302020011347","11","123249359"
"23",100258,"00100258010120191231201906302020011347","12","355192952"
"23",100258,"00100258010120191231201906302020011347","13","55220330"
"23",100258,"00100258010120191231201906302020011347","14","6594930"
"23",100258,"00100258010120191231201906302020011347","15","349685"
"23",100258,"00100258010120191231201906302020011347","16","6245245"
"23",100258,"00100258010120191231201906302020011347","17","61465575"
"23",100258,"00100258010120191231201906302020011347","18","-15369000"
"23",100258,"00100258010120191231201906302020011347","19",
"23",100258,"00100258010120191231201906302020011347","21",
"23",100258,"00100258010120191231201906302020011347","24","0"
"23",100258,"00100258010120191231201906302020011347","25","46096575"
"23",100259,"00100259010120191231201905222020123712","01","550921913"
"23",100259,"00100259010120191231201905222020123712","02","324347306"
"23",100259,"00100259010120191231201905222020123712","03","875269219"
"23",100259,"00100259010120191231201905222020123712","04","804718890"
"23",100259,"00100259010120191231201905222020123712","05","70550329"
"23",100259,"00100259010120191231201905222020123712","06","332691"
"23",100259,"00100259010120191231201905222020123712","07","70883020"
"23",100259,"00100259010120191231201905222020123712","08","18566322"
"23",100259,"00100259010120191231201905222020123712","09","18607747"
"23",100259,"00100259010120191231201905222020123712","10","6261392"
"23",100259,"00100259010120191231201905222020123712","11","30475779"
"23",100259,"00100259010120191231201905222020123712","12","73911240"
"23",100259,"00100259010120191231201905222020123712","13","-3028220"
"23",100259,"00100259010120191231201905222020123712","14","38485"
"23",100259,"00100259010120191231201905222020123712","15","581"
"23",100259,"00100259010120191231201905222020123712","16","37904"
"23",100259,"00100259010120191231201905222020123712","17","-2990316"
"23",100259,"00100259010120191231201905222020123712","18","176162"
"23",100259,"00100259010120191231201905222020123712","19",
"23",100259,"00100259010120191231201905222020123712","21",
"23",100259,"00100259010120191231201905222020123712","24","0"
"23",100259,"00100259010120191231201905222020123712","25","-2814154"
"23",100260,"00100260010120191231201905182020015355","01","1322430233"
"23",100260,"00100260010120191231201905182020015355","02","654602697"
"23",100260,"00100260010120191231201905182020015355","03","1977032930"
"23",100260,"00100260010120191231201905182020015355","04","1762035337"
"23",100260,"00100260010120191231201905182020015355","05","214997593"
"23",100260,"00100260010120191231201905182020015355","06","10536231"
"23",100260,"00100260010120191231201905182020015355","07","225533824"
"23",100260,"00100260010120191231201905182020015355","08","41294113"
"23",100260,"00100260010120191231201905182020015355","09","43062961"
"23",100260,"00100260010120191231201905182020015355","10","14732303"
"23",100260,"00100260010120191231201905182020015355","11","75738215"
"23",100260,"00100260010120191231201905182020015355","12","174827592"
"23",100260,"00100260010120191231201905182020015355","13","50706232"
"23",100260,"00100260010120191231201905182020015355","14","38089421"
"23",100260,"00100260010120191231201905182020015355","15","921675"
"23",100260,"00100260010120191231201905182020015355","16","37167746"
"23",100260,"00100260010120191231201905182020015355","17","87873978"
