CLIENT_CODE,FILE_NBR,SUBMISSION_NUMBER,LINE_NUMBER,INPATIENT_REVENUE,OUTPATIENT_REVENUE,TOTAL_REVENUE,INPATIENT_DEDUCTION,OUTPATIENT_DEDUCTION,TOTAL_DEDUCTION,NET_INPATIENT_REVENUE,NET_OUTPATIENT_REVENUE,NET_PATIENT_REVENUE
23,100001,1.00001070120181e+35,1,,,,31576814,32739155,64315969,-31576814,-32739155,-64315969
23,100254,1.00254010120191e+35,5,334394493,127858595,462253088,290338176,121597050,411935226,44056317,6261545,50317862
23,100254,1.00254010120191e+35,6,48829310,34130852,82960162,46011784,34171103,80182887,2817526,-40251,2777275
23,100254,1.00254010120191e+35,7,57724012,42164811,99888823,50348862,36756317,87105179,7375150,5408494,12783644
23,100254,1.00254010120191e+35,8,,,,,,,,,
23,100254,1.00254010120191e+35,9,,,,,,,,,
23,100254,1.00254010120191e+35,10,298367364,158341181,456708545,265541974,148111678,413653652,32825390,10229503,43054893
23,100254,1.00254010120191e+35,11,151292375,188486526,339778901,141206736,182120061,323326797,10085639,6366465,16452104
23,100254,1.00254010120191e+35,12,155491478,212433269,367924747,112971578,163088527,276060105,42519900,49344742,91864642
23,100254,1.00254010120191e+35,13,81208880,111803419,193012299,46937017,68078212,115015229,34271863,43725207,77997070
23,100254,1.00254010120191e+35,14,3065784,20378276,23444060,737349,4273533,5010882,2328435,16104743,18433178
23,100254,1.00254010120191e+35,15,,,,9843,28071,37914,-9843,-28071,-37914
23,100254,1.00254010120191e+35,16,,,,4878477,4949556,9828033,-4878477,-4949556,-9828033
23,100254,1.00254010120191e+35,17,,,,94677969,141537999,236215968,-94677969,-141537999,-236215968
23,100254,1.00254010120191e+35,18,,,,,,,,,
23,100254,1.00254010120191e+35,19,1222995501,1048079370,2271074871,1063572678,922777034,1986349712,159422823,125302336,284725159
23,100254,1.00254010120191e+35,20,,,,,,,,,
23,100254,1.00254010120191e+35,21,1222995501,1048079370,2271074871,1063572678,922777034,1986349712,159422823,125302336,284725159
23,100254,1.00254010120191e+35,22,,,1357424492,,,1128055783,,,229368709
23,100256,1.00256010120191e+35,1,,,,7027294,7606313,14633607,-7027294,-7606313,-14633607
23,100256,1.00256010120191e+35,2,147782390,96242660,244025050,,,,147782390,96242660,244025050
23,100256,1.00256010120191e+35,3,,,,,,,,,
23,100256,1.00256010120191e+35,4,,,,40094348,11215587,51309935,-40094348,-11215587,-51309935
23,100256,1.00256010120191e+35,5,643426260,187326804,830753064,587430924,181997141,769428065,55995336,5329663,61324999
23,100256,1.00256010120191e+35,6,103422937,27041278,130464215,104895930,27725014,132620944,-1472993,-683736,-2156729
23,100256,1.00256010120191e+35,7,107779212,36737015,144516227,94668338,34237163,128905501,13110874,2499852,15610726
23,100256,1.00256010120191e+35,8,,,,,,,,,
23,100256,1.00256010120191e+35,9,,,,,,,,,
23,100256,1.00256010120191e+35,10,776574029,249834596,1026408625,728069640,238526520,966596160,48504389,11308076,59812465
23,100256,1.00256010120191e+35,11,152569978,101045863,253615841,148210756,100294823,248505579,4359222,751040,5110262
23,100256,1.00256010120191e+35,12,130914008,77479253,208393261,106965490,66482370,173447860,23948518,10996883,34945401
23,100256,1.00256010120191e+35,13,118597326,86224293,204821619,86999227,59560060,146559287,31598099,26664233,58262332
23,100256,1.00256010120191e+35,14,61866264,34430106,96296370,3060962,2723411,5784373,58805302,31706695,90511997
23,100256,1.00256010120191e+35,15,,,,13322,27616,40938,-13322,-27616,-40938
23,100256,1.00256010120191e+35,16,,,,8815359,12483381,21298740,-8815359,-12483381,-21298740
